Move,History (PGN),Commentary,Eval Before,Eval After,Delta,Top K Best Moves
Qe1,d4 d5 c4 e6 Nc3 Nf6 Nf3 Be7 e3 O-O Qc2 Nbd7 Bd3 h6 O-O c6 b3 b6 Bb2 Bb7 e4 dxe4 Nxe4 Nxe4 Bxe4 Nf6 Bd3 c5 dxc5 Bxc5 Rad1 Qe7 Ne5 Rfd8 Rd2 Bb4 Bc3 Bxc3 Qxc3 Ne4 Bxe4 Bxe4 Rfd1 f6 Ng4 Rxd2 Qxd2 f5 Ne5 Qg5 f4 Qe7 Qd4 Kh7 Rd2 Qa3 h4 Qc1+ Kh2,"Attacking h4 Pawn (why did he move to h4 and not to h3, where it was safe??)",-39,50,89.0,d4f2
Qf6#,Nf3 Nf6 d4 d5 c4 e6 Nc3 h6 g3 c6 b3 Nbd7 Bg2 dxc4 bxc4 Nb6 Ne5 Bd6 Nxf7 Kxf7 c5 Bc7 cxb6 Bxb6 e3 Re8 O-O Kg8 Qb3 Nd5 e4 Nxc3 Be3 Ne2+ Kh1 Nxd4 Qc4 Kh8 Rfg1 e5 Rgd1 Be6 Qc3 c5 f4 exf4 gxf4 Qf6 e5 Qd8 Bxb7 Rb8 Be4 Rc8 f5 Bg8 f6 gxf6 Bxh6 Bh7 Bxh7 Kxh7 Qh3 Qd5+ Kg1 Reg8+ Bg5+ Kg6 Qh6+ Kf5 Qxf6+ Kg4 h3+ Kxh3 Rd3+ Qf3 Rxf3+ Kg4 Qf4+ Kh5 Rh3+ Kg6,,Mate,Mate,,
e4,,"I find 1.e4 a great move as White can exert a lot of pressure when they know their repertoire. I was thinking of 1.-c6 or 1.-c5, perhaps 1.-e6, but White could surprise me during the opening. So I thought...",,-25,,e7e5
Bh5,e4 c6 d4 d6 c4 Nd7 Nc3 Ngf6 Nf3 h5 Be2 e5 dxe5 Nxe5 Nxe5 dxe5 Qxd8+ Kxd8 Bg5 Bc5 Bxf6+ gxf6 f3 Kc7 O-O-O Rg8 g3 a5 f4 Be3+ Kb1 h4 fxe5 hxg3 hxg3 fxe5 Rhf1 Be6 Rf3 Bd4 Bd3 Rg4 Ne2 Rh8 Nxd4 exd4 b3 Rh2 Bc2 Rg2 Rxd4 Rg2xg3 Rxg3 Rxg3 Rd3 Rg7 Rf3 Bg4 Rf2 Bd7 Bd1 Be6,Now what? It seems impossible for either side to make real progress here.,-22,55,77.0,"c7d6, h5e2"
Nc6,e4 e6 d4 d5 e5 c5 Nf3,Attacking again...,22,33,11.0,c2c3
h5,e4 e5 Nf3 Bc5 c3 Nf6 Qe2 d6 h3 Nc6 d4 Bb6 Na3 Be6 Bg5 h6 Bh4 g5 Bg3,Pawn,111,305,194.0,d4d5
exd5,e4 e5 Nf3 Nc6 Bc4 Nf6 d3 Be7 Bb3 d6 c3 Bg4 Nbd2 O-O Nf1 Re8 h3 Be6 Ng5 Bxb3 Qxb3 d5 Qxb7 Qd7,Not sure this is a good move but it is difficult to suggest a good move for white. This position is much easier to play for black.,-103,245,348.0,"f6d5, b7a6, a8b8"
f5,e4 e5 Nf3 d6 Bc4 h6 Nc3 Nf6 d3 Nc6 Be3 Bg4 h3 Bh5 Bb5 a6 Bxc6+ bxc6 g4 Bg6 Nh4 Bh7 Ng2 Be7 f4 O-O,The idea behind that is to try and deny my opponent space. The only way they can expand now is to weaken the protection in front of the king.,74,-82,-156.0,"d6d5, e3d2"
b5,e4 d6 d4 e6 Nf3 h6 Bd3 a6 c4 Nd7 Nc3 Ne7 O-O Ng6 Qc2 e5 Be3 Be7 Nd5 Bf6 Nxf6+ gxf6 Qd2 h5 h3 Ndf8 dxe5 fxe5 Bg5 f6 Bh6 Ne6 Rad1 Ngf4 Bxf4 Nxf4 Kh2 Rg8 Nh4 Be6 Rfg1 Qd7 b4 O-O-O,23. Bxh3 is still best.,13,49,36.0,a6b5
b3,d4 Nf6 Nf3 d5 g3 e6 Bg2 Be7 O-O O-O,This is unusual at the top level. Once again the computer prefers c4.,21,-14,-35.0,c7c5
exd4,e3 d5 Be2 Nf6 Nf3 Nc6 Ng5 Bf5 Nf3 g6 Nd4 Nb4 c3 Nd3+ Bxd3 Bxd3 Na3 Bg7 g3 e5 Qa4+ Nd7 Ndb5 a6 Qb3 axb5 Nxb5 Bxb5 Qxb5 b6 b4 c5 h4 cxb4 cxb4 d4 exd4,Pawn trade.,433,-421,-854.0,"e1g1, e8g8, d2d3"
Nc3,e4 c5,"I opt for the closed Sicilian, as I believed my opponent will outplay me in the more popular lines of the open Sicilian. I wanted to avoid too much theory.",39,-22,-61.0,"e7e6, g1f3, a7a6"
Qf6,e4 c5 Bc4 e6 e5 Nc6 Ne2 Nxe5 O-O Nxc4 b3 Ne5 c4,Moves queen,540,-396,-936.0,"b1c3, f6d8, d2d4"
Be7,e3 e5 Qf3 Nf6 Qf5 g6 Qxe5+,safe,-14,12,26.0,"e5b5, e8g8, g1f3"
Rxe3,e4 e5 c3 Nf6 f3 Nxe4 fxe4 Qh4+ g3 Qxe4+ Qe2 Qxh1 Qf2 Qe4+ Ne2 d5 d4 exd4 cxd4 Bb4+ Nbc3 Bxc3+ bxc3 O-O Ba3 Re8 Bg2 Qe6 Rd1 Nc6 Rd3 b6 Re3 Qxe3 Qxe3 Rxe3 Bxd5 Ba6 Bc1 Rxe2+ Kd1 Na5 Bxa8 Nc4 a4 Ne3+ Bxe3,Trades.,791,-794,-1585.0,"d1d2, e3e2, d2d1"
Ne2,d4 c6 c4 d5 Nf3 Nf6 Nc3 e6 e3 Bd6 Qc2 Nbd7 b3 a6 Bb2 O-O Bd3 h6 h3 e5 dxe5 Nxe5 Nxe5 Bxe5 O-O Be6 cxd5 cxd5,I propose more exchange and try to make d4 a strong place for my knight.,51,-51,-102.0,"a8c8, c2d2, e5b2"
Nxd4,e4 c5 Nc3 Nc6 Bb5 Nd4 Bc4 e6 Nge2 a6 Nxd4 cxd4 Ne2 Nf6,"From this position Black could secure a slight advantage with 8...Nxe4 9.O-O d5 (as in Petrov-Pucher, Le Touquet, 2006), which is why White would have been better advised to play 8.d3.",7,19,12.0,f6e4
Qxf6+,Nf3 Nf6 d4 d5 c4 e6 Nc3 h6 g3 c6 b3 Nbd7 Bg2 dxc4 bxc4 Nb6 Ne5 Bd6 Nxf7 Kxf7 c5 Bc7 cxb6 Bxb6 e3 Re8 O-O Kg8 Qb3 Nd5 e4 Nxc3 Be3 Ne2+ Kh1 Nxd4 Qc4 Kh8 Rfg1 e5 Rgd1 Be6 Qc3 c5 f4 exf4 gxf4 Qf6 e5 Qd8 Bxb7 Rb8 Be4 Rc8 f5 Bg8 f6 gxf6 Bxh6 Bh7 Bxh7 Kxh7 Qh3 Qd5+ Kg1 Reg8+ Bg5+ Kg6 Qh6+ Kf5,If 36... Ke4 37. Qf4#.,Mate,Mate,,"f5g4, h2h3, g4h3"
e4,,"This is the Fiat Lux Fifth Invitational, Alapin Variation. Brigade Commander really dislikes this particular opening. Black actually makes the first move...",,-21,,c7c5
Bb7,d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 Bg7 Nf3 c5 Rb1 O-O Be2 cxd4 cxd4 b6 O-O,2 fianchetoed bishops. Attacking the central pawns : a necessity for black - typically modern chess strategy.,-59,66,125.0,"d4d5, b8d7"
Bg2,d4 Nf6 c4 g6 Nf3 Bg7 g3 O-O,He completes his fianchetto,23,-14,-37.0,"c7c6, b1c3"
g5,Nf3 b6 g3 Bb7 Bg2 d6 O-O Nc6 d3 e6 c4 Nf6 Nc3 h6 e4,"8. …...g5 - allo, allo, allo - the start of a pawn storm?",-99,154,253.0,"d3d4, f8g7, d4d5"
f6,b4 e5 Bb2 Bxb4 f4 exf4 Bxg7 Qh4+ g3 fxg3 Bg2 gxh2+ Kf1 hxg1=Q+ Kxg1 Qg5 Bxh8 Qg6 Nc3 Bxc3 Bxc3 d5 Qe1 Bf5 Qh4 Bxc2 d3 b5 Rc1 Ba4 Qxh7 Qxh7 Rxh7 c6 Bd4 Nd7 Bb2 a6 Rf1,"?? defending the pawn, but allowing something much worst...",-485,499,984.0,"g2h3, e8c8, h7g7"
Qc3,d4 f5 c4 g6 Nc3 Nh6 e4 fxe4 Nxe4 Bg7 Nf3 c6 Bd3 d5 cxd5 cxd5 Bb5+ Nc6 Bxc6+ bxc6 Nc5 O-O Qc2 Bh3 Rg1 Bf5,Black provokes some weaknesses. [%csl Rf2][%cal Rh6g4],-46,43,89.0,"h6f7, c1f4, f7d6"
Rhd1,d4 d5 c4 dxc4 Nf3 h6 e3 Be6 Nc3 Nf6 e4 Nh7 d5 Bg4 Bxc4 a6 h3 Bh5 Qa4+ Qd7 Qb4 Qc8 g4 Bg6 Ne5 e6 Qa4+ Kd8 dxe6 Nf6 exf7 Bh7 g5 hxg5 Bxg5 Bd6 Ng4 Qd7 Nxf6 Qxa4 Nxh7+ Kc8 Nxa4 Rxh7 O-O-O Rh8 Be6+ Nd7 e5 Bxe5 Rxd7 Bf6 Bxf6 gxf6,Rg1 was even stronger.,964,-971,-1935.0,"c8b8, c1c2, h8f8"
Qc8,Nf3 Nc6 g3 d5 Bg2 e5 d3 h6 Nbd2 Bc5 h3 Bd7 O-O,Bxh3 could happen now.,5,63,58.0,"e2e4, d5d4, g1h2"
Ke7,e4 c5 Nc3 Nc6 Bb5 Nd4 Bc4 e6 Nge2 Nf6 O-O d5 exd5 exd5 Nxd4 cxd4 Re1+ Be6 Bb5+ Nd7 Qh5 g6 Qe5 Rg8 Nxd5 Rc8 Nf6+ Ke7 Nxg8+ Ke8 Nf6+,Here Qxf6 is definitely not better. That would have been like closing the barn door after the horse is gone.,-954,956,1910.0,"f6d7, d8d7, b5d7"
Nfd2,d4 e6 e3 d5 Nf3 f6 Bb5+ c6 Bd3 Nd7 Nc3 b5 O-O b4 Ne2 c5 dxc5 Nxc5 Ned4 Bb7 Bd2 a5 Bb5+ Kf7 c3 Ne7 cxb4 axb4 Bxb4 Qb6 Bxc5 Qxc5 Qe2 e5 Nb3 Qb6 Bd3 g5 e4 d4,Black decides not to initiate the pawn exchange so now I'm thinking I want to use the knights to threaten the queen.,163,-138,-301.0,"e7g6, d2c4, b6d8"
Bxe5,e4 c6 d4 d5 exd5 Nf6 dxc6 Nxc6 c3 Bf5 h3 e5 dxe5 Qxd1+ Kxd1 O-O-O+ Bd2 Ne4 Ke1 Bc5 f3 Ng3 Rh2 Bxg1 Bb5 Bxh2 Bf4 h6 Nd2 g5 Bxg3 Bxg3+ Kd1 Bf4 Bxc6 Rxd2+ Ke1 bxc6 b4 Rxg2 a4 Rg1+ Kf2 Rxa1 a5 Bd2 Ke2 Bxc3 Ke3,Build a wall that the white king can’t cross,Mate,Mate,,"f3f4, a1a2, f4e5"
Qb6,d4 Nf6 Nf3 e6 e3 d5 Ne5 Bd6 Bd3 a6 Bd2 Bxe5 dxe5 Nfd7 f4 c5 Qe2 Nc6 c3 c4 Bc2,"looking to develop anyway I can,, though i don't like blocking in a pawn",-31,61,92.0,"d2c1, e8g8, b2b3"
Be6,d4 d5 f3 Nc6 e3 Nf6 Bd3,I am ahead of getting the minor pices out,50,21,-29.0,"c2c3, e6d7"
e4,d4 Nf6 c4 g6 Nc3 Bg7,I take the centre.,65,-61,-126.0,"d7d6, h2h3"
f5,e4 e5 Nf3 d6 d3,pawn,0,23,23.0,"b1c3, c7c5"
O-O-O,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 Nc6 Bg5 e6 Be2 a6 Qd2 Bd7,White usually castles queen-side in this variation.,23,-25,-48.0,"h7h6, g5h4"
Bb4,e4 e5 Nf3 Nc6 Bb5 d6 Nc3 Nf6 Nd5 Bg4 d3 h6 h3 Bh5 g4 Bg6 Nh4 Bh7 Nf5 Bxf5 gxf5 Qd7 Nxf6+ gxf6 Rg1 a6 Ba4 O-O-O Qh5 Kb8 Be3 d5 O-O-O d4 Bd2 Bc5 Rg7 Rdf8 Rdg1 Qe7 Bxc6 bxc6 Qf3 Ka7 Rg1g4 Rfb8 b3 Ba3+ Kb1,"Not sure why I didn't take here, perhaps had visions of q-e1 and difficulties arising.",-64,107,171.0,d2b4
Kh1,e4 c5 Nc3 e6 f4 d5 Nf3 Nc6 Bb5 d4 Bxc6+ bxc6 Ne2 Nf6 d3 Ba6 b3 Qb6 Ne5 Rd8 O-O Be7,Getting out of the way of any tricks.,210,-171,-381.0,"b6c7, e2g3"
dxe5,d4 Nf6 Bf4 d6 e3 g6 Nf3 Bg7 Bd3 O-O Nc3 Nbd7 O-O Re8 h3 e5 dxe5,I recapture.,46,-44,-90.0,"f4g5, h7h6"
Nb4,e4 e5 Nf3 Nc6 d4 f6 d5 Nce7 d6 cxd6 Qxd6 a6 Be3 Nc6 Qd3,"Black is about to lose one tempo (if white plays a further a3), playing a piece that hasn't move yet would have been better.",-16,220,236.0,"d3b3, d7d5, c2c3"
c5,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nxd4 Qxd4,Die queen.,-84,167,251.0,"d4e5, d8e7, e5e7"
Bg5,d4 f5 h3 d6 g4 fxg4 Qd3 g3 fxg3 Nf6,"[%cal Gc7c6,Rd8a5,Ra5e1]",92,-17,-109.0,"e7e5, f1g2"
e4,,17. Qg3 Nc6 18. Nc7+ Ke7 19. Qd6+ Kf6 20. Ne8# 17. Qg3 Nxc4 18. Nc7+ Ke7 19. Nxa8 Qb5 20. Qc7+ Ke8 21. Qd8# 17. Qg3 Nxc4 18. Nc7+ Ke7 19. Nxa8 Qxb2 20. Bxc5+ 17. Qg3 Bd6 18. Rxd6 Qxd6 19. Nxd6+ Ke7 20. Qxe5 Is there a quicker win in this version: 17. Qg3 Ng6 18. Bxg6 fxg6 19. Qxg6+ Ke7 20. Rd6 Qxd6 21. Nxd6 Kxd6 22. Bf4+ Ke7 23. Rd1 Bd7 24. Bd6+ Kd8 25. Bxf8 Rxf8 26. Qxe6 Kc8 27. Qxd7+ Kb8 28. Qd6+ Ka7 29. Qxc5+ Kb8 But the black response with the biggest range of choices for white is f6,,-27,,"c7c5, g1f3, d7d6"
Nd6+,d4 d5 c4 e6 Nf3 c6 Nc3 h6 e4 b6 Bf4 Nf6 Bxb8 Rxb8 Ne5 Bb7 Qa4 a6 Nxc6 Bxc6 Qxc6+ Nd7 cxd5 Rc8 Qb7 a5 Bb5 Bd6 Bxd7+ Qxd7 Qxd7+ Kxd7 O-O Rc4 Nb5 Rb4 a4 Rxb2 e5 Bb4 f4 exd5 g4 Rc8 Rfc1 Rcc2 Rxc2 Rxc2 f5 Rd2 Rf1 Re2 Rc1 Re4 Rc7+ Ke8,"Ce coût était une erreur. L'échange cavalier-fou est avantageux pour les noirs, car il force aussi les blancs à avoir 2 pions sur la ligne D et perde l'avantage de la diagonale de pions.",190,106,-84.0,b4d6
Bg5,e4 e5 Nf3 Nf6 Nc3 Bb4 Bc4 O-O O-O Re8 d3 Bxc3 bxc3 Nc6,"And there it goes! With that White's early game is complete (move four main power pieces, make a play for the center, and castle).",75,-37,-112.0,h7h6
d5,d4 Nf6 c4 g6 g3 Bg7 Bg2 d5 cxd5 Nxd5 Nf3 c5 e4 Nb4,Fritz prefers a3.,87,-87,-174.0,"f7f5, a2a3, f5e4"
Rad1#,e4 e5 f4 exf4 Nf3 g5 Bc4 g4 O-O gxf3 Qxf3 Qf6 e5 Qxe5 Bxf7+ Kxf7 d4 Qxd4+ Be3 Qf6 Bxf4 d6 Qh5+ Ke6 Qe8+ Ne7 Re1+ Kd5 Nc3+ Qxc3 bxc3 Be6 Qb5+ c5,,Mate,Mate,,
Nd4,e4 e5 Nf3 Nc6 Bb5,"Bird's Defense. creative, but not strong but not bad. an interesting surprise weapon for weekend tourneys or speed chess, but in the online venue (with 3 day time control?) a very interesting choice.",-35,48,83.0,"f3d4, e5d4, e1g1"
Ng5,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 O-O-O d5 exd5 Nxd5 Nxc6 bxc6 Bd4 e5 Bc5 Re8 Bc4 Qa5 Ne4 Qc7 Qf2 Rd8 Kb1 Be6 a3 f5,Threatening but too late to take the bishop.,-12,24,36.0,"e6c8, c5b4"
Rac8,d4 Nf6 Bf4 c5 e3 Nd5 Ne2 Nxf4 exf4 g6 dxc5 Qa5+ Nbc3 Qxc5 a3 Bg7 Rb1 O-O Qd5 Na6 Qxc5 Nxc5 g3 b6 Bg2 Bb7 Bxb7 Nxb7 O-O Rfc8 Rfd1 d6 Nd4 Rc5 Nce2,The rooks are doubled up on an open file.,47,-50,-97.0,"c2c3, g8f8, g3g4"
g5,Nf3 Nf6 Ng5 Nc6 c3 h6 Nf3 d6 Na3 e6 d3,Moves pawn forward,65,0,-65.0,"g2g3, e6e5"
Nc3,e4 g5 Nf3 a5,Head of the games,285,-167,-452.0,"g5g4, f3g1, d7d6"
Bb3,e4 c5 Bc4 e6 Nf3 Nf6 d3 d5 exd5 exd5,?! best is 6. Bb5+ liquidating the bishop for equal value. 6. Bb5+ Bd7 7. Bxd7 Nxd7 with equality,-25,25,50.0,"b8c6, e1g1, f8e7"
Rf3,b3 Nf6 Bb2 e6 e3 d5 Nf3 Bd6 Be2 c5 O-O Nc6 a3 Bd7 d3 Qc7 g3 h5 Re1 h4 Nxh4 g5 Bxf6 gxh4 Bxh8 hxg3 fxg3 Bxg3 Rf1 Bxh2+ Kh1 O-O-O Bf6 Rg8 Bg4 Qg3 Rf4 Qxe3,Pivotal moment in the game. Better to return the rook for the safety of the king.,-371,479,850.0,"e3h6, d1f1, h2f4"
Bb5,e4 e5 Nf3 Nc6,I usually play c4 but decided to mix it up.,21,-27,-48.0,"a7a6, b5a4"
h6,e4 e5 Bc4 Qe7 Nf3 d6 h3 Be6 d3 Bxc4 dxc4,Black defends against bishop advance possibly.,-25,52,77.0,"b1c3, c7c6"
Na7,b3 b6 Bb2 Bb7 Nf3 Nf6 g3 g6 Bg2 Bg7 O-O O-O d3 d6 e4 e5 c4 c5 a4 a5 Na3 Nc6 Nb5,"I don't believe I would ever have played this move in this type of position. But what to play instead? It turns out 12...Nd4? is very dangerous, as after 13.Nfxd4 neither recapture is safe: 13...cxd4 14.Ba3! and 13...exd4 14.e5! The only move I can think of, 12...Ne8, at least goes towards the thematic pawn break by ...f5, and also aims to exchanging the KING's knight for White's intruder after ...Nc7 at some point. If White were to respond (to 12...Ne8) by 13.Ne1, then 13...Nd4 becomes playable.",-5,25,30.0,"f3e1, f6e8"
Kg5,e4 e5 Nf3 Qf6 Nc3 c6 h3 h6 Bc4 a6 O-O d6 d4 b5 dxe5 dxe5 Bb3 a5 a4 b4 Ne2 Bc5 Be3 Nd7 Ng3 Nb6 Bxc5 Nd7 Be3 Ne7 Nh5 Qg6 Nh4 Qxe4 Nxg7+ Kf8 Qh5 Ng6 Nxg6+ fxg6 Ne6+ Ke7 Qe2 Nf6 Bc5+ Kd7 Rfd1+ Ke8 Rd8+ Kf7 Qxe4 Bxe6 Bxe6+ Kxe6 Qxc6+ Kf5 g4+,"Now it becomes one of those study puzzles. The puzzle sets a trap. You can either rescue your rook or...in this case the or is setting a mating net. You know it's there, since the queen is close, the pawns prevent a king from escaping, you just have to find it now.",Mate,Mate,,"c5e3, g5h4, c6f6"
Nf4,e4 c5 Nf3 g6 c4 Nc6 Nc3 Bg7 Rb1 a6 Be2 d6 O-O Nf6 d3 O-O Nd5 Ng4 h3 Nge5 a3 f5 Nxe5 Nxe5 g3 fxe4 dxe4 Bxh3 Re1 e6,Retreating the knight here also encourages black to move the bishop to safety.,256,-275,-531.0,"f8f4, c1f4, h7h5"
cxd5,d4 Nf6 Nf3 e6 e3 c5 Nbd2 d5 c3 Nc6 Bd3 Bd6 O-O e5 dxe5 Nxe5 Nxe5 Bxe5 Nf3 Bc7 b3 O-O Bb2 Bg4 c4 Re8,I felt good about this move. 14... Qxd5 is impossible due to 15. Bxf6. 14... Nxd5 could be met with 15 e4 and possibly later e5.,9,44,35.0,"d8d6, f1e1, f6d5"
h4,d4 d5 c4 e6 Nf3 a6 Nc3 h6 e3 c6 b3 h5,Blocks. Pawn,154,-100,-254.0,"g8f6, f1e2, f8e7"
Bb7,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7 Re1 b5 Bb3 d6 c3 O-O h3,"Zaitsev Variation - quite trendy back in 1990. Also very playable are 9...Na5 (Tchigorin), 9... Nb8(Breyer), 9...h6 (Smyslov). In this position, Black appears to have completed his development; White's Q-side has hardly stirred. This might look bad for White, but it appears that Black can do little to hinder the realisation of White's potential for improvement. Bear in mind this game was played between the two strongest players in the world at the time.",-39,62,101.0,"d2d4, f8e8"
a3,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 O-O-O d5 exd5 Nxd5 Nxc6 bxc6 Bd4 e5 Bc5 Re8 Bc4 Qa5 Ne4 Qc7 Qf2 Rd8 Kb1 Be6,"White may have thought I was planning ..Nb4, but actually it was Nc3+ I had in mind.",64,-21,-85.0,f7f5
Nf6,e4 e5 Nf3 Nc6 Bb5 Nd4 Nxd4 exd4 O-O c6 Bc4 d6 d3 Nf6 Nd2 Be7 Nf3 h6 Nxd4 O-O Be3 c5 Ne2 Bg4 f3 Be6 Nf4 Bxc4 dxc4 Qc7 Qe2 b6 Bd2 Rfe8 Bc3 Nd7 Nd5 Qd8 Rad1 Rc8 f4 Bf8 Rd3,OOPS in a difficult position.,-408,760,1168.0,"d5f6, g8h8, f6e8"
Nf6,d4,So naturally I opt for an Indian Defence.,-18,23,41.0,"c2c4, e7e6"
Nb3,d4 Nf6 c4 e6 Nf3 Nc6 a3 d6 b4 e5 d5 Ne7 Nc3 Ng6 Qc2 Be7 e4 Bd7 Bd3 a6 h3 c6 Be3 Qc8 Rc1 O-O Na4 Bd8 Nb6 Bxb6 Bxb6 cxd5 exd5 e4 Nd2 exd3 Qxd3 Re8+ Kd1 Ba4+,21. Nb3 - white is forced to put his knight in a pin - his king has no safe moves and it is the lowest value piece he can put in the way. Now comes a knight fork.,-742,695,1437.0,"g6e5, d3b1, e5c4"
e4,e4 e5 c4 Bc5 Nf3 Nc6 a3 d6 d3 a5 Be3 Nge7 h3 f5 exf5 Bxe3 fxe3 Nxf5,"Ouch! Qd2 was a much better move. then ...Ng3, Rg1 Nxf1, Rxf1 permits White to survive for another day. the text move permits an invasion much more damaging.",-139,386,525.0,"f5e3, d1d2, c6d4"
Bb8,e4 e6 Bc4 c5 Nf3 Nc6 O-O d5 exd5 exd5 Bb5 Bd6 Ba4 Nf6 h3 O-O c3 Bf5 Bc2 Bd7 Bd3 c4 Be2 Re8 Ng5 h6 Nf3,Preparing a simple checkmate along the h2-b8 diagonal.,518,-188,-706.0,"f1e1, c6e5, f3e5"
Bxe5,d4 e6 e3 h5 Nf3 Rh6 e4 f5 Bg5 Be7 Bxh6 Nxh6 Nc3 d5 exf5 exf5 Ne5 a5 Bb5+ c6 Bd3 Ra6 Bxa6 Nxa6 Qxh5+ Kf8 h3 Qe8 Qf3 Bd6 g4 b5 O-O-O b4 Ne2,What follows is an interesting exchange.,-446,521,967.0,"d4e5, f8g8, g4g5"
Bf4,d4 f5 h3 d6 g4 fxg4,Biriukov Attack. As you can see there are several layer upon layers on top of one another. The Biriukov Attack aims to control the e5 square,59,-13,-72.0,"b8c6, b1c3"
